generation	variant	commit	status	lines	classes	methods	gini	population	trade_price	trade_volume	survival	wealth_cv	entropy	passes	description
47	1	0f26c4c	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Consolidates the sugar and spice resource maps into a single 3D NumPy array and uses a more compact `Trader` class.
47	2	0f26c4c	pass	41	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Implements attribute compression by grouping metabolism and position into tuples, and streamlines the resource consumption/death check.
47	3	0f26c4c	fail	41	2	6	0.3569	55	1.0453	6984	0.2750	0.6272	3.4743	FAIL	Maximum structural ablation using extreme inlining of the agent lifecycle and movement logic via the walrus operator.
48	1	0f26c4c	fail	42	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Optimizes the movement selection by replacing the multi-line utility and distance tie-breaking logic with a single `max()` call using a composite key.
48	2	0f26c4c	pass	42	2	6	0.3390	67	0.9650	5995	0.3367	0.5937	2.9967	PASS	Streamlines the agent lifecycle by consolidating resource consumption, metabolism, and death checks into a single procedural block using `any()`.
48	3	0f26c4c	fail	42	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	The most aggressive ablation: combines movement optimization, lifecycle consolidation, and attribute streamlining to achieve maximum code density.
49	1	0f26c4c	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Simplified movement tie-breaking using a composite key in `max()` and streamlined the agent lifecycle using `any()` for death checks.
49	2	0f26c4c	fail	38	1	5	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Removed the `Trader` class entirely, representing agents as dictionaries to reduce object overhead and lines of code.
49	3	0f26c4c	fail	38	1	5	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Maximum structural ablation: combines dictionary-based agents, simplified movement selection, and streamlined agent lifecycle logic to achieve minimal code density.
50	1	0f26c4c	crash	41	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Consolidated resource depletion and agent death checks to reduce redundant operations and lines of code.
50	2	0f26c4c	crash	41	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Compacted the `Trader` class and streamlined agent initialization by passing attributes directly.
50	3	0f26c4c	crash	41	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation: combines resource consolidation, compact trader initialization, and streamlined agent lifecycle.
51	1	0f26c4c	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Simplified resource management by stacking sugar and spice into a 3D NumPy array and streamlined the movement selection using `max()` with a composite key and randomized tie-breaking.
51	2	0f26c4c	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Combined resource updates using `zip` to iterate over wealth, resources, and metabolism simultaneously, reducing the manual indexing in the agent lifecycle.
51	3	0f26c4c	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Achieved maximum structural ablation by combining 3D resource stacking, `zip`-based metabolism updates, and aggressive inlining of the agent lifecycle and death checks.
52	1	c1ea2e7	fail	38	2	6	0.3185	62	0.9579	5925	0.3100	0.5588	3.1169	FAIL	Consolidates resource consumption and metabolism updates using `zip` and streamlines the agent lifecycle check.
52	2	c1ea2e7	fail	38	2	6	0.3185	62	0.9579	5925	0.3100	0.5588	3.1169	FAIL	Implements a single-line `Trader` class and refactors the agent initialization and movement logic for brevity.
52	3	c1ea2e7	fail	38	2	6	0.3185	62	0.9579	5925	0.3100	0.5588	3.1169	FAIL	Maximum structural ablation using extreme inlining and walrus-operator-heavy procedural logic to reach minimum code density.
53	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidates sugar and spice into a 3D NumPy array and streamlines the `Trader` initialization.
53	2	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Inlines agent metabolic consumption and death checks into the movement logic to reduce the number of operations per step.
53	3	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Maximum structural ablation using aggressive inlining, 3D resource stacking, and condensed agent attribute management.
54	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidates sugar and spice into a 3D NumPy array and uses `zip` to streamline metabolism and resource consumption.
54	2	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Implements attribute compression by grouping metabolism and position into tuples and uses a more concise movement selection logic.
54	3	c1ea2e7	crash	38	2	5	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation using a single-line `Trader` definition and aggressive inlining of the agent lifecycle and resource updates.
55	1	c1ea2e7	fail	41	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Streamlines the agent lifecycle by using `zip` for metabolic updates and `any()` for death checks, while also compressing the `Trader` class.
55	2	c1ea2e7	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Further reduces complexity by inlining the agent's position update and optimizing the movement selection logic using walrus operators.
55	3	c1ea2e7	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Maximum structural ablation: aggressively compresses the `Trader` class and uses a condensed procedural flow for the agent lifecycle.
56	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidates sugar and spice into a 3D NumPy array and uses a more compact `Trader` class to reduce attribute overhead.
56	2	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Streamlines the agent lifecycle by using `any()` for death checks and a more concise movement selection logic.
56	3	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Maximum structural ablation using extreme inlining and walrus operators to collapse the agent lifecycle and movement logic.
57	1	c1ea2e7	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Consolidates sugar and spice into a 3D NumPy array and streamlines the agent metabolic update and resource consumption using a loop.
57	2	c1ea2e7	fail	40	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Streamlines the agent lifecycle by using `any()` for death checks and optimizes the movement selection using a single `max` call with a default.
57	3	c1ea2e7	crash	38	2	5	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation using aggressive inlining with walrus operators and a single-line class definition.
58	1	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Consolidates resource management using a 3D NumPy array and streamlines metabolic consumption with a loop and coordinate unpacking.
58	2	c1ea2e7	crash	41	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Implements attribute compression for the `Trader` class and uses `zip` to unify wealth, metabolism, and resource updates in a single procedural pass.
58	3	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Performs maximum structural ablation by combining the `Trader` class into a more compact form and using `zip` and `any` to collapse the agent lifecycle and resource consumption into a single procedural flow.
59	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidates resource consumption and metabolic updates using a loop and simplifies resource depletion to reduce redundant indexing.
59	2	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Optimizes movement selection using a generator expression and a single `max` call with a negative distance key to replace the explicit tie-breaking logic.
59	3	c1ea2e7	fail	41	2	6	0.3606	68	1.0121	5421	0.3400	0.6443	2.9110	FAIL	Maximum structural ablation using a unified utility function, generator-based movement, and condensed trade negotiation logic.
60	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidates resource and metabolism updates using `zip` and slice-based resource depletion.
60	2	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Streamlines the agent lifecycle by combining metabolism and death checks into a single procedural block.
60	3	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Minimalist structural ablation by reducing method overhead and inlining resource depletion.
61	1	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Consolidates resource consumption and metabolism updates using a loop and uses slicing for resource depletion.
61	2	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Streamlines the movement tie-breaking logic and uses a more compact range-based loop for trade visibility.
61	3	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation using extreme inlining and walrus operators to collapse the agent lifecycle and movement.
62	1	c1ea2e7	fail	40	2	6	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Consolidates sugar and spice into a 3D NumPy array and simplifies movement tie-breaking using a composite tuple in `max()`.
62	2	c1ea2e7	fail	40	2	6	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Streamlines the agent lifecycle by using `any()` for death checks and a more compact resource consumption loop.
62	3	c1ea2e7	fail	41	2	6	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Minimalist version using a generator for movement selection and a more compact agent initialization.
63	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Simplified agent attribute initialization and consolidated resource/metabolism updates using loops and `any()`.
63	2	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Optimized movement candidate selection using a single list comprehension and compacting the `Trader` class.
63	3	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Maximum structural ablation using extreme inlining of the agent lifecycle and aggressive resource management simplification.
64	1	c1ea2e7	fail	40	2	6	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Streamlined the agent lifecycle and movement selection by using a composite key for tie-breaking and NumPy slicing for resource consumption.
64	2	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Implements attribute compression by storing wealth and metabolism as NumPy arrays, enabling vectorized resource updates.
64	3	c1ea2e7	crash	40	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation using extreme inlining of the agent lifecycle, movement, and metabolism into a single procedural block.
66	1	c1ea2e7	pass	40	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Simplified resource consumption and metabolism updates using a loop to handle both sugar and spice simultaneously.
66	2	c1ea2e7	fail	40	2	6	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Optimized movement selection by using a composite key with negative distance to allow a single `max()` call without a custom lambda.
66	3	c1ea2e7	fail	40	2	6	0.3678	67	0.9961	5674	0.3333	0.6498	2.9056	FAIL	Consolidated agent lifecycle by combining metabolism, resource depletion, and death checks into a single compact block using `any()`.
67	1	c1ea2e7	crash	37	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Consolidated resource management using a 3D NumPy array and simplified agent metabolic updates using NumPy array arithmetic.
67	2	c1ea2e7	crash	37	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Streamlined the agent lifecycle by consolidating the metabolic update and death check into a single conditional block and optimizing the `living` agent iteration.
67	3	c1ea2e7	crash	37	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation: extreme inlining of the `Trader` initialization, resource management, and agent lifecycle into the most compact procedural flow possible.
68	1	c1ea2e7	crash	39	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Uses NumPy arrays for agent wealth and metabolism, enabling vectorized resource consumption and death checks to reduce metabolic logic overhead.
68	2	c1ea2e7	crash	38	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Streamlines movement and trade loops using generator expressions and reduces the `Trader` class to a single line for maximum density.
68	3	c1ea2e7	crash	38	2	6	0.0000	0	0.0000	0	0.0000	0.0000	0.0000	FAIL	Maximum structural ablation: uses aggressive inlining with walrus operators and collapses the agent lifecycle and resource management into a highly condensed procedural flow.
69	1	c1ea2e7	pass	38	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Removed redundant `if not a.al` checks and condensed the `Trader` class and movement selection logic.
69	2	c1ea2e7	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidated the agent lifecycle and optimized the neighbor search in the trade loop using a list comprehension.
69	3	c1ea2e7	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Maximum structural ablation: extreme inlining of the agent lifecycle and trade negotiation logic.
70	1	8476f55	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidated the `Trader` class into a single line and merged the metabolic update and death check into a more compact loop.
70	2	8476f55	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Simplified movement and resource management using `*` unpacking and condensed agent lifecycle logic.
70	3	8476f55	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Maximum structural ablation using extreme inlining and semicolon-delimited logic to minimize line count.
71	1	8476f55	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Consolidates metabolic updates and death checks using NumPy array arithmetic for both wealth and metabolism.
71	2	8476f55	fail	43	2	6	0.3537	71	0.9643	6726	0.3550	0.6206	2.9566	FAIL	Streamlines the neighbor search in both movement and trade loops to reduce nested logic complexity.
71	3	8476f55	pass	37	2	6	0.3399	67	0.9891	6075	0.3333	0.5938	3.0086	PASS	Maximum structural ablation using extreme inlining of the agent lifecycle and condensed trade negotiation logic.
72	1	8476f55	fail	37	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Consolidates the agent lifecycle by merging metabolic updates, resource consumption, and death checks into a single loop and uses a more compact `Trader` class.
72	2	8476f55	fail	37	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Streamlines algorithmic complexity by replacing `sum()` calls with direct indexing and simplifying the movement candidate selection and trade neighbor search.
72	3	8476f55	fail	37	2	6	0.3349	60	0.9749	5589	0.3000	0.5858	3.6246	FAIL	Maximum structural ablation using extreme inlining of the agent lifecycle, trade negotiation, and resource management into a highly condensed procedural flow.
